kind,P,N,reps,median_rep,median_wall_s,median_comm_s,q1_wall_s,q3_wall_s,iqr_wall_s,min_wall_s,max_wall_s
strong,1,2048,31,16,47.472812,0.000000,47.197921,47.650012,0.452091,46.907390,47.848835
strong,2,2048,31,27,23.741062,0.119966,23.620261,23.821307,0.201046,23.583390,24.033410
strong,4,2048,31,9,12.324147,0.406551,12.287965,12.363819,0.075854,12.256158,12.495257
strong,8,2048,31,7,6.321563,0.286507,6.299696,6.339807,0.040111,6.277110,6.430451
strong,16,2048,31,17,3.297202,0.191395,3.272494,3.308199,0.035705,3.248052,3.529048
strong,24,2048,31,12,2.409784,0.182140,2.390844,2.420785,0.029941,2.366090,2.747234
strong,32,2048,31,13,1.950562,0.163879,1.942273,1.961610,0.019337,1.921408,2.171721
size,16,108,31,24,0.069119,0.029157,0.068512,0.069557,0.001045,0.067536,0.071979
size,16,256,31,16,0.363684,0.067851,0.362760,0.364894,0.002134,0.361573,0.369994
size,16,500,31,25,1.432264,0.213095,1.424755,1.435439,0.010684,1.420002,1.457288
size,16,864,31,18,3.932334,0.437881,3.928406,3.944674,0.016268,3.905432,3.957726
size,16,1372,31,24,9.430750,0.926384,9.362633,9.509402,0.146769,9.243661,9.569722
size,16,2048,31,28,19.709470,1.586496,19.650177,19.812626,0.162449,19.499027,20.091338
