# mode: lj, integrator: euler, N: 108, P: 1, dt: 1e-14, steps: 10, n_steps: 10, n_frames: 11, step_indexing: 0..steps (includes initial frame), total_steps_executed: 60, seed: 42, L: 1.73893e-09, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 50, production_steps: 10, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: true, production_nve: true, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, startup_temperature_before_final_rescale: 94.9849184843571, startup_temperature_after_final_rescale: 94.4000000000001, lattice: FCC, velocities: Box-Muller, timestamp: 2026-03-12T14:18:38Z
step,time,E_kin,E_pot,E_total,temperature
0,0,2.09184891288e-19,-9.12916763919552e-19,-7.03731872631552e-19,94.4000000000001
1,1e-14,2.11525263370756e-19,-9.10632329841395e-19,-6.99107066470638e-19,95.4561523982534
2,2e-14,2.14776832951034e-19,-9.09388338832451e-19,-6.94611505881417e-19,96.9235058313253
3,3e-14,2.18964511804123e-19,-9.08859592979484e-19,-6.89895081175361e-19,98.8133023711116
4,4e-14,2.24108503104857e-19,-9.09809852096508e-19,-6.85701348991651e-19,101.134659213852
5,5e-14,2.30011308581936e-19,-9.11507518253613e-19,-6.81496209671676e-19,103.798450243908
6,6e-14,2.36298938432358e-19,-9.13451036509845e-19,-6.77152098077487e-19,106.635903055271
7,7e-14,2.42703937969226e-19,-9.15283282486688e-19,-6.72579344517462e-19,109.526321921364
8,8e-14,2.49116447237105e-19,-9.17520494560083e-19,-6.68404047322977e-19,112.420129744484
9,9e-14,2.55437535169378e-19,-9.19786529495049e-19,-6.64348994325671e-19,115.272681365839
10,1e-13,2.61440695380733e-19,-9.22120637325771e-19,-6.60679941945038e-19,117.981760020911
