# mode: lj, integrator: verlet, N: 864, P: 4, dt: 1e-14, steps: 25500, seed: 42, L: 3.47786e-09, rcut: 7.65e-10, rescale_step: 10, production_start: 10, gr_discard: 490, gr_interval: 10, gr_start: 500, lattice: FCC, velocities: Box-Muller, timestamp: 2026-03-04T17:02:32Z
r_sigma,gr
0.01,0
0.03,0
0.05,0
0.07,0
0.09,0
0.11,0
0.13,0
0.15,0
0.17,0
0.19,0
0.21,0
0.23,0
0.25,0
0.27,0
0.29,0
0.31,0
0.33,0
0.35,0
0.37,0
0.39,0
0.41,0
0.43,0
0.45,0
0.47,0
0.49,0
0.51,0
0.53,0
0.55,0
0.57,0
0.59,0
0.61,0
0.63,0
0.65,0
0.67,0
0.69,0
0.71,0
0.73,0
0.75,0
0.77,0
0.79,0
0.81,0
0.83,0
0.85,0
0.87,0
0.89,0
0.91,5.51507e-06
0.93,0.000343228
0.95,0.00752993
0.97,0.0621205
0.99,0.269881
1.01,0.742998
1.03,1.46823
1.05,2.25035
1.07,2.87455
1.09,3.22361
1.11,3.31464
1.13,3.19134
1.15,2.94393
1.17,2.63339
1.19,2.32591
1.21,2.03003
1.23,1.77143
1.25,1.53968
1.27,1.35258
1.29,1.18653
1.31,1.05223
1.33,0.941223
1.35,0.854065
1.37,0.77807
1.39,0.716008
1.41,0.666461
1.43,0.627583
1.45,0.595714
1.47,0.570368
1.49,0.553766
1.51,0.544923
1.53,0.536721
1.55,0.534088
1.57,0.536713
1.59,0.543708
1.61,0.554419
1.63,0.567067
1.65,0.583063
1.67,0.600403
1.69,0.625478
1.71,0.654366
1.73,0.685107
1.75,0.7241
1.77,0.767526
1.79,0.812335
1.81,0.865587
1.83,0.918884
1.85,0.972654
1.87,1.03454
1.89,1.08807
1.91,1.13989
1.93,1.18408
1.95,1.21959
1.97,1.24721
1.99,1.2704
2.01,1.28344
2.03,1.29134
2.05,1.29984
2.07,1.30036
2.09,1.29797
2.11,1.29716
2.13,1.28859
2.15,1.27525
2.17,1.26105
2.19,1.23622
2.21,1.20776
2.23,1.17564
2.25,1.13955
2.27,1.10477
2.29,1.06814
2.31,1.03151
2.33,0.997726
2.35,0.965815
2.37,0.93407
2.39,0.90595
2.41,0.881239
2.43,0.85914
2.45,0.84382
2.47,0.830989
2.49,0.82168
2.51,0.816137
2.53,0.81419
2.55,0.81358
2.57,0.817917
2.59,0.82172
2.61,0.829959
2.63,0.840467
2.65,0.853528
2.67,0.868266
2.69,0.884721
2.71,0.901244
2.73,0.919614
2.75,0.939121
2.77,0.959131
2.79,0.978682
2.81,1.00098
2.83,1.01977
2.85,1.03885
2.87,1.05714
2.89,1.07292
2.91,1.08916
2.93,1.10263
2.95,1.11332
2.97,1.12159
2.99,1.12816
3.01,1.13382
3.03,1.13369
3.05,1.13212
3.07,1.12519
3.09,1.11901
3.11,1.10945
3.13,1.09852
3.15,1.08667
3.17,1.07369
3.19,1.059
3.21,1.04423
3.23,1.02981
3.25,1.01528
3.27,1.0025
3.29,0.990536
3.31,0.978948
3.33,0.967046
3.35,0.958056
3.37,0.950731
3.39,0.943171
3.41,0.937331
3.43,0.930907
3.45,0.928719
3.47,0.925983
3.49,0.925906
3.51,0.924987
3.53,0.926565
3.55,0.928579
3.57,0.933075
3.59,0.937414
3.61,0.942587
3.63,0.949085
3.65,0.9552
3.67,0.962994
3.69,0.971838
3.71,0.978824
3.73,0.98711
3.75,0.995165
3.77,1.00507
3.79,1.0114
3.81,1.01953
3.83,1.02621
3.85,1.0317
3.87,1.03679
3.89,1.04144
3.91,1.04524
3.93,1.04717
3.95,1.04797
3.97,1.04899
3.99,1.04914
4.01,1.04991
4.03,1.04819
4.05,1.0463
4.07,1.04437
4.09,1.04121
4.11,1.03888
4.13,1.0357
4.15,1.03075
4.17,1.02651
4.19,1.02065
4.21,1.01578
4.23,1.0105
4.25,1.00428
4.27,0.999337
4.29,0.992981
4.31,0.988804
4.33,0.983238
4.35,0.979031
4.37,0.974621
4.39,0.971091
4.41,0.968748
4.43,0.966324
4.45,0.965624
4.47,0.964884
4.49,0.964646
4.51,0.965955
4.53,0.967434
4.55,0.967758
4.57,0.970725
4.59,0.9734
4.61,0.976422
4.63,0.979867
4.65,0.983904
4.67,0.988001
4.69,0.99195
4.71,0.995653
4.73,1.00076
4.75,1.00367
4.77,1.00731
4.79,1.01079
4.81,1.01411
4.83,1.01684
4.85,1.01877
4.87,1.02035
4.89,1.02142
4.91,1.02294
4.93,1.02465
4.95,1.02507
4.97,1.02475
4.99,1.02338
5.01,1.02344
5.03,1.02149
5.05,1.02143
5.07,1.01936
5.09,1.01754
