# mode: ho, integrator: euler, N: 1, P: 1, dt: 0.5, steps: 20, n_steps: 20, n_frames: 21, step_indexing: 0..steps (includes initial frame), total_steps_executed: 20, seed: 42, L: 10000000000, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 0, production_steps: 20, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: false, production_nve: false, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, timestamp: 2026-03-12T21:34:09Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,0.5,1,-0.5,8.363033125e-27,3.34521325e-26,4.1815165625e-26
2,1,0.75,-1,3.34521325e-26,1.881682453125e-26,5.226895703125e-26
3,1.5,0.25,-1.375,6.32454380078125e-26,2.09075828125e-27,6.53361962890625e-26
4,2,-0.4375,-1.5,7.5267298125e-26,6.40294723632813e-27,8.16702453613281e-26
5,2.5,-1.1875,-1.28125,5.4915072980957e-26,4.71727337207031e-26,1.0208780670166e-25
6,3,-1.828125,-0.6875,1.58113595019531e-26,1.11798398875122e-25,1.27609758377075e-25
7,3.5,-2.171875,0.2265625,1.71711690872192e-27,1.57795081062622e-25,1.59512197971344e-25
8,4,-2.05859375,1.3125,5.76265251269531e-26,1.41763722337227e-25,1.9939024746418e-25
9,4.5,-1.40234375,2.341796875,1.83451916252642e-25,6.57858930775833e-26,2.49237809330225e-25
10,5,-0.2314453125,3.04296875,3.09755333533211e-25,1.79192812957048e-27,3.11547261662781e-25
11,5.5,1.2900390625,3.15869140625,3.33763011986454e-25,5.56710650920224e-26,3.89434077078477e-25
12,6,2.869384765625,2.513671875,2.11368847873278e-25,2.75423748474818e-25,4.86792596348096e-25
13,6.5,4.126220703125,1.0789794921875,3.89448637551298e-26,5.6954588167999e-25,6.0849074543512e-25
14,7,4.66571044921875,-0.984130859375,3.23988435482581e-26,7.28214588245641e-25,7.60613431793899e-25
15,7.5,4.17364501953125,-3.31698608398438,3.68053631601947e-25,5.82713158140428e-25,9.50766789742374e-25
16,8,2.51515197753906,-5.40380859375,9.76840649229954e-25,2.11617837948014e-25,1.18845848717797e-24
17,8.5,-0.186752319335938,-6.66138458251953,1.48440641805587e-24,1.16669091658679e-27,1.48557310897246e-24
18,9,-3.5174446105957,-6.56800842285156,1.44308266714824e-24,4.13883719067338e-25,1.85696638621557e-24
19,9.5,-6.80144882202148,-4.80928611755371,7.73722165617841e-25,1.54748581715163e-24,2.32120798276947e-24
20,10,-9.20609188079834,-1.40856170654297,6.63705723923756e-26,2.83513940606946e-24,2.90150997846184e-24
