# mode: ho, integrator: verlet, N: 1, P: 1, dt: 0.5, steps: 20, n_steps: 20, n_frames: 21, step_indexing: 0..steps (includes initial frame), total_steps_executed: 20, seed: 42, L: 10000000000, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 0, production_steps: 20, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: false, production_nve: false, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, timestamp: 2026-03-12T20:25:40Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,0.5,0.875,-0.46875,7.35032208251953e-27,2.56117889453125e-26,3.2962111027832e-26
2,1,0.53125,-0.8203125,2.25103613777161e-26,9.44108036376953e-27,3.19514417414856e-26
3,1.5,0.0546875,-0.966796875,3.12675810463428e-26,1.00046050567627e-28,3.13676270969105e-26
4,2,-0.435546875,-0.87158203125,2.54120876490623e-26,6.34590567433357e-27,3.17579933233958e-26
5,2.5,-0.81689453125,-0.5584716796875,1.04334062458249e-26,2.23231658377868e-26,3.27565720836117e-26
6,3,-0.9940185546875,-0.105743408203125,3.74050652165723e-28,3.30531451376899e-26,3.34271957898556e-26
7,3.5,-0.922637939453125,0.373420715332031,4.66466673714026e-27,2.84764879803837e-26,3.3141154717524e-26
8,4,-0.620597839355469,0.75922966003418,1.92828019210849e-26,1.28838104508428e-26,3.21666123719277e-26
9,4.5,-0.163408279418945,0.955231189727783,3.05239544690515e-26,8.93247733011762e-28,3.14172022020632e-26
10,5,0.334633350372314,0.912424921989441,2.78495438673214e-26,3.74595237485719e-27,3.15954962421786e-26
11,5.5,0.749016642570496,0.641512423753738,1.37668300550166e-26,1.8767513774649e-26,3.25343438296656e-26
12,6,0.976145774126053,0.210221819579601,1.47835723117277e-27,3.18752181200824e-26,3.33535753512551e-26
13,6.5,0.959238462150097,-0.273624239489436,2.50456866814357e-27,3.07805925873135e-26,3.32851612554571e-26
14,7,0.702521534636617,-0.689064238686115,1.58833911437688e-26,1.65098486133132e-26,3.23932397570821e-26
15,7.5,0.270174223463982,-0.932238178211264,2.90721785871499e-26,2.4418086737068e-27,3.15139872608567e-26
16,8,-0.229716643574648,-0.942352573183598,2.9706442770117e-26,1.76526021187523e-27,3.14717029819922e-26
17,8.5,-0.672178349719616,-0.716878824860032,1.71915610211385e-26,1.51144674107856e-26,3.23060284319241e-26
18,9,-0.94659546843468,-0.312185370321458,3.26023497988171e-27,2.99745485214595e-26,3.32347835013412e-26
19,9.5,-0.984363720041074,0.17055442679748,9.73082810024915e-28,3.24141775026401e-26,3.3387260312665e-26
20,10,-0.7760410416372,0.610655617217049,1.24743096708088e-26,2.01462021844706e-26,3.26205118552794e-26
